var	Tx	Px	FACS	stat
CD100	FALSE	FALSE	TRUE	1
CD102	FALSE	FALSE	TRUE	1
CD11a	FALSE	FALSE	TRUE	1
CD18	FALSE	FALSE	TRUE	1
CD184CXCR4	FALSE	FALSE	TRUE	1
CD1b	FALSE	FALSE	TRUE	1
CD1c	FALSE	FALSE	TRUE	1
CD1d	FALSE	FALSE	TRUE	1
CD2	FALSE	FALSE	TRUE	1
CD27	FALSE	FALSE	TRUE	1
CD28	FALSE	FALSE	TRUE	1
CD38	FALSE	FALSE	TRUE	1
CD4	FALSE	FALSE	TRUE	1
CD45	FALSE	FALSE	TRUE	1
CD48	FALSE	FALSE	TRUE	1
CD5	FALSE	FALSE	TRUE	1
CD50ICAM3	FALSE	FALSE	TRUE	1
CD7	FALSE	FALSE	TRUE	1
CD84	FALSE	FALSE	TRUE	1
CD8a	FALSE	FALSE	TRUE	1
TCRVbeta9	FALSE	FALSE	TRUE	1
