ax2_Tx_positive	ax2_Tx_negative	ax2_Px_positive	ax2_Px_negative	ax2_FACS_positive	ax2_FACS_negative
HMCN1.Tx	MAL2.Tx	IPI00739827.Px	IPI00900293.Px	CD105.FACS	SSEA5.FACS
TMEM255A.Tx	KRT19.Tx	IPI00219452.Px	IPI00852685.Px	HLAA2.FACS	TRA160R.FACS
PLP1.Tx	EPCAM.Tx	IPI00022275.Px	IPI00843975.Px	CD10.FACS	Tim1.FACS
BCL2A1.Tx	C19orf33.Tx	IPI00007812.Px	IPI00011285.Px	CD80.FACS	SSEA3.FACS
S100B.Tx	AREG.Tx	IPI00642584.Px	IPI00872375.Px	CD275B7H2.FACS	TRA181.FACS
MLANA.Tx	FAM110C.Tx	IPI00418497.Px	IPI00307162.Px	MSCA1MSC.FACS	CD24.FACS
EDNRB.Tx	CHMP4C.Tx	IPI00218466.Px	IPI00009790.Px	CD7.FACS	SSEA4.FACS
GPNMB.Tx	HAVCR1.Tx	IPI00008167.Px	IPI00000861.Px	CD1a.FACS	CD205DEC205.FACS
TYR.Tx	HOXA9.Tx	IPI00604620.Px	IPI00015018.Px	CD245p220240.FACS	CD326EpCAM.FACS
LY96.Tx	RASSF6.Tx	IPI00179330.Px	IPI00010346.Px	HLADR.FACS	CD26.FACS
