"cell_line"	"rho"	"p-value"	"number_of_|log2FC|>2"
"SF_539_wk1"	"0.803144062931322"	"1.82310722079225e-78"	"5"
"SNB_75_wk1"	"0.870865121498295"	"6.60926300018608e-107"	"4"
"HCT_15_wk1"	"0.812617203175815"	"1.00330492752558e-81"	"6"
"KM_12_wk1"	"0.748897269340453"	"1.01191788088168e-62"	"1"
"SW_620_wk1"	"0.936884946247404"	"3.12083610865922e-157"	"2"
"HT_29_wk1"	"0.857450073747039"	"3.91310178081798e-100"	"6"
"CCRF_CEM_wk1"	"0.932117214293436"	"4.90965170878656e-152"	"2"
"SR_wk1"	"0.871438912380507"	"3.26381687506106e-107"	"3"
"NCI_H23_wk1"	"0.82931463022396"	"6.01155999240816e-88"	"7"
"HOP_92_wk1"	"0.666857045547035"	"2.39996500263983e-45"	"19"
"HOP_62_wk1"	"0.880173590200389"	"4.55542223798012e-112"	"2"
"A549_wk1"	"0.837619231291078"	"2.67064803193142e-91"	"13"
"NCI_H522_wk1"	"0.844848500057148"	"2.24094547922566e-94"	"2"
"MDA_MB468_wk1"	"0.809466888839886"	"1.27527384580735e-80"	"8"
"MCF_7_wk1"	"0.935033036008606"	"3.62772549371444e-155"	"1"
"SK_MEL_5_wk1"	"0.758388366228823"	"3.58596473998182e-65"	"7"
"M_14_wk1"	"0.753373610264738"	"7.29945736905253e-64"	"13"
"LOX_IMVI_wk1"	"0.771004837443002"	"1.30554401807348e-68"	"20"
"OVCAR_4_wk1"	"0.871831584467507"	"2.00989089610691e-107"	"79"
"DU_145_wk1"	"0.877290018578205"	"2.00573362042951e-110"	"7"
"TK_10_wk1"	"0.876143393220498"	"8.79847788072567e-110"	"6"
"ACHN_wk1"	"0.89817204378191"	"2.17100090444607e-123"	"11"
"CAKI_1_wk1"	"0.84063888248352"	"1.44680245869979e-92"	"20"
"X786_wk1"	"0.832113770336719"	"4.67319382612607e-89"	"14"
"SN_12C_wk1"	"0.910869110616818"	"9.77745067775454e-133"	"8"
